,WindDir,valid,UP,M,BL,FG,RA,SN,tmpf,dwpf,relh,sknt,vsby,gust
227,NW,2014-09-18 22:47:00,False,False,False,True,False,False,21.2,21.2,100,36,0.06,36
228,N,2014-09-19 04:51:00,False,True,False,False,False,False,15.8,6.8,67.05,29,100,29
229,S,2014-09-19 14:53:00,False,True,False,False,False,False,32,15.8,50.75,4,110,4
230,SW,2014-09-19 22:51:00,False,True,False,False,False,False,33.8,30.2,86.49,26,100,30
231,W,2014-09-20 04:48:00,False,False,False,True,False,False,32,32,100,40,0,40
232,W,2014-09-20 14:48:00,False,False,False,True,False,False,41,41,100,48,0,48
233,W,2014-09-20 22:48:00,False,False,False,True,False,False,42.8,42.8,100,33,0,46
234,SW,2014-09-21 04:50:00,False,False,False,True,False,False,44.6,44.6,100,41,0.06,53
235,SW,2014-09-21 14:52:00,False,False,False,True,False,False,50,50,100,31,0.06,42
236,SW,2014-09-21 22:49:00,False,False,False,True,False,False,50,50,100,22,0,22
237,W,2014-09-22 04:49:00,False,False,False,True,False,False,41,41,100,44,0,44
238,W,2014-09-22 14:56:00,False,False,False,True,False,False,30.2,30.2,100,63,0.06,67
239,W,2014-09-22 22:49:00,False,False,False,True,False,False,24.8,24.8,100,48,0.06,63
240,NW,2014-09-23 04:49:00,False,False,False,True,False,False,24.8,24.8,100,51,0.06,57
241,NW,2014-09-23 14:53:00,False,False,False,True,False,False,32,32,100,44,0,53
242,NW,2014-09-23 22:48:00,False,False,False,True,False,False,33.8,33.8,100,34,0.06,42
243,W,2014-09-24 04:53:00,False,True,False,False,False,False,39.2,15.8,38.15,5,100,5
244,SW,2014-09-24 14:51:00,False,False,False,True,False,False,42.8,41,93.3,8,0.12,8
245,S,2014-09-24 22:58:00,False,True,False,False,False,False,44.6,-18.4,6.14,13,110,13
246,S,2014-09-25 04:56:00,False,True,False,False,False,False,46.4,-25.6,3.93,8,120,8
247,S,2014-09-25 14:47:00,False,True,False,False,False,False,50,39.2,66.27,5,40,5
248,N,2014-09-25 22:57:00,False,True,False,False,False,False,46.4,14,26.75,18,100,18
249,N,2014-09-26 04:54:00,False,False,False,True,False,False,41,41,100,12,0,12
250,NW,2014-09-26 14:54:00,False,True,False,False,False,False,51.8,44.6,76.34,5,70,5
251,NW,2014-09-26 22:53:00,False,True,False,False,False,False,46.4,33.8,61.28,30,130,30
252,NW,2014-09-27 04:57:00,False,True,False,False,False,False,51.8,37.4,57.77,15,130,15
253,N,2014-09-27 14:47:00,False,True,False,False,False,False,60.8,30.2,31.28,13,80,17
254,NW,2014-09-27 22:58:00,False,True,False,False,False,False,62.6,28.4,27.27,7,70,7
255,W,2014-09-28 04:57:00,False,True,False,False,False,False,57.2,30.2,35.57,23,70,23
256,W,2014-09-28 14:53:00,False,True,False,False,False,False,59,32,35.87,21,70,21
257,W,2014-09-28 22:55:00,False,False,False,True,False,False,48.2,48.2,100,25,0.06,25
258,NW,2014-09-29 04:55:00,False,True,False,False,False,False,51.8,15.8,23.65,6,80,6
259,S,2014-09-29 14:56:00,False,False,False,True,False,False,48.2,48.2,100,7,0.12,7
260,SW,2014-09-29 22:57:00,False,True,False,False,False,False,46.4,44.6,93.4,7,100,7
261,W,2014-09-30 04:53:00,False,False,False,True,False,False,42.8,42.8,100,6,0,6
262,W,2014-09-30 14:52:00,False,False,False,True,False,False,50,44.6,81.61,6,0.19,6
263,NE,2014-09-30 22:57:00,False,True,False,False,False,False,42.8,39.2,86.99,12,110,12
264,NE,2014-10-01 04:56:00,False,True,False,False,False,False,42.8,37.4,81.07,12,70,12
265,SE,2014-10-01 14:49:00,False,False,False,True,False,False,48.2,48.2,100,5,0.25,5
266,E,2014-10-01 22:55:00,False,True,False,False,False,False,44.6,41,87.09,4,80,4
267,NE,2014-10-02 04:53:00,False,True,False,False,False,False,44.6,39.2,81.2,7,80,7
268,N,2014-10-02 14:50:00,False,True,False,False,False,False,50,41,71.07,2,2,2
269,E,2014-10-02 22:50:00,False,True,False,False,False,False,46.4,26.6,45.73,5,100,5
